question,answer,context,criteria,score
which is the first ammendment?,"The First Amendment to the United States Constitution is as follows:

""Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press, or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.""","original Constitution. 
 
(Note: The first 10 amendments  to the Constitution  were 
ratified December 15, 1791, and form what is known as 
the “Bill of Rights.”)  
Amendment  I. 
Congress shall make no law respecting an establishment of 
religion, or prohibiting the free exercise thereof; or abridg- 
ing the freedom of speech, or of the press, or the right 
of the people peaceably to assemble, and to petition the 
Government for a redress of grievances. 
Amendment  II.

C O N S T I T U T I O N O F T H E U N I T E D S T A T E S  
Amendment  XV. 
Passed by Congress February 26, 1869. Ratified February 3, 1870. 
 
SECTION 1 
The right of citizens of the United States to vote shall not be 
denied or abridged by the United States or by any State on 
account of race, color, or previous condition of servitude. 
SECTION 2 
The Congress shall have the power to enforce this article by 
appropriate legislation. 
Amendment  XVI.

imposed, nor cruel and unusual punishments inflicted. 
Amendment  IX. 
The enumeration in the Constitution, of certain rights, 
shall not be construed to deny or disparage others retained 
by the people. 
Amendment  X. 
The powers not delegated to the United States by the Con- 
stitution, nor prohibited by it to the States, are reserved to 
the States respectively, or to the people. 
 
AMENDMENTS 11-27 
 
Amendment  XI. 
Passed by Congress March 4, 1794. Ratified February 7, 1795.

of amendment. 
SECTION 2 
The Congress shall have power to enforce this article by 
appropriate legislation. 
Amendment  XXIV. 
Passed by Congress August 27, 1962. Ratified January 23, 1964. 
 
SECTION 1 
The right of citizens of the United States to vote in any pri- 
mary or other election for President or Vice President, for 
electors for President or Vice President, or for Senator or 
Representative in Congress, shall not be denied or abridged

C O N S T I T U T I O N O F T H E U N I T E D S T A T E S  
THE AMENDMENTS TO THE CONSTITUTION OF 
THE UNITED STATES AS RATIFIED BY THE STATES 
 
 
Preamble to the 
Bill  of  Rights 
Congress of the United States 
begun and held at the City of New-York, on 
Wednesday the fourth of March,  
 
 
THE Conventions of a number of the States, having at 
the time of their adopting the Constitution, expressed 
a desire, in order to prevent misconstruction or abuse",Contextual_Hallucination,1
which is the role of the president?,"Based on the context provided, the role of the President includes:

1. Discharging the powers and duties of the office of the President of the United States.
2. Preserving, protecting, and defending the Constitution of the United States to the best of their ability.

Additionally, the context outlines procedures related to the President's ability to discharge their duties. If the President is unable to do so, the Vice President can assume the role of Acting President. The President can resume their duties by declaring they are able, unless challenged by the Vice President and a majority of the principal officers of the executive departments or another body as provided by Congress.","powers and duties of the office as Acting President. 
Thereafter, when the President transmits to the President 
pro tempore of the Senate and the Speaker of the House of 
Representatives his written declaration that no inability ex- 
ists, he shall resume the powers and duties of his office un- 
less the Vice President and a majority of either the principal 
officers of the executive department or of such other body 
as Congress may by law provide, transmit within four days

President of the United States, and will to the best of my 
Ability, preserve, protect and defend the Constitution of 
the United States.”

President as Acting President. 
SECTION 4 
Whenever the Vice President and a majority of either the 
principal officers of the executive departments or of such 
other body as Congress may by law provide, transmit to the 
President pro tempore of the Senate and the Speaker of the 
House of Representatives their written declaration that the 
President is unable to discharge the powers and duties of
 
his office, the Vice President shall immediately assume the

shall take office upon confirmation by a majority vote of 
both Houses of Congress. 
SECTION 3 
Whenever the President transmits to the President pro 
tempore of the Senate and the Speaker of the House of 
Representatives his written declaration that he is unable 
to discharge the powers and duties of his office, and until 
he transmits to them a written declaration to the contrary, 
such powers and duties shall be discharged by the Vice 
President as Acting President. 
SECTION 4

for as Vice-President, and of the number of votes for each, 
which lists they shall sign and certify, and transmit sealed 
to the seat of the government of the United States, directed 
to the President of the Senate;-the President of the Senate 
shall, in the presence of the Senate and House of Represen- 
tatives, open all the certificates and the votes shall then be 
counted;-The person having the greatest number of votes 
for President, shall be the President, if such number be a",Contextual_Hallucination,2
which is the second ammendment?,"The Second Amendment to the United States Constitution is:

""A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.""","Amendment  II. 
A well regulated Militia, being necessary to the security of 
a free State, the right of the people to keep and bear Arms, 
shall not be infringed.  
Amendment  III. 
No Soldier shall, in time of peace be quartered in any 
house, without the consent of the Owner, nor in time of 
war, but in a manner to be prescribed by law. 
Amendment  IV. 
The right of the people to be secure in their persons, hous- 
es, papers, and effects, against unreasonable searches and

original Constitution. 
 
(Note: The first 10 amendments  to the Constitution  were 
ratified December 15, 1791, and form what is known as 
the “Bill of Rights.”)  
Amendment  I. 
Congress shall make no law respecting an establishment of 
religion, or prohibiting the free exercise thereof; or abridg- 
ing the freedom of speech, or of the press, or the right 
of the people peaceably to assemble, and to petition the 
Government for a redress of grievances. 
Amendment  II.

C O N S T I T U T I O N O F T H E U N I T E D S T A T E S  
Amendment  XV. 
Passed by Congress February 26, 1869. Ratified February 3, 1870. 
 
SECTION 1 
The right of citizens of the United States to vote shall not be 
denied or abridged by the United States or by any State on 
account of race, color, or previous condition of servitude. 
SECTION 2 
The Congress shall have the power to enforce this article by 
appropriate legislation. 
Amendment  XVI.

imposed, nor cruel and unusual punishments inflicted. 
Amendment  IX. 
The enumeration in the Constitution, of certain rights, 
shall not be construed to deny or disparage others retained 
by the people. 
Amendment  X. 
The powers not delegated to the United States by the Con- 
stitution, nor prohibited by it to the States, are reserved to 
the States respectively, or to the people. 
 
AMENDMENTS 11-27 
 
Amendment  XI. 
Passed by Congress March 4, 1794. Ratified February 7, 1795.

place subject to their jurisdiction.  
SECTION 2 
Congress shall have power to enforce this article by 
appropriate legislation. 
Amendment  XIV. 
Passed by Congress June 13, 1866. Ratified July 9, 1868. 
(Note: Article I, Section 2 of the Constitution  was modified by 
Section 2 of the 14th Amendment.)  
 
SECTION 1 
All persons born or naturalized in the United States and 
subject to the jurisdiction thereof, are citizens of the United",Contextual_Hallucination,5
which is the role of the vice president?,"Based on the provided context, the role of the Vice President involves assuming the powers and duties of the President as Acting President under certain circumstances. Specifically:

1. **Acting President:** The Vice President assumes the role of Acting President when the President declares in writing that they are unable to discharge the powers and duties of the office (Section 3).

2. **Inability of the President:** If the Vice President, along with a majority of the principal officers of the executive departments or another body as provided by Congress, declares in writing that the President is unable to discharge the powers and duties of the office, the Vice President immediately assumes the role of Acting President (Section 4).

These roles are related to situations where the President is unable to fulfill their duties, either by their own declaration or through a declaration by the Vice President and the majority of certain officials.","powers and duties of the office as Acting President. 
Thereafter, when the President transmits to the President 
pro tempore of the Senate and the Speaker of the House of 
Representatives his written declaration that no inability ex- 
ists, he shall resume the powers and duties of his office un- 
less the Vice President and a majority of either the principal 
officers of the executive department or of such other body 
as Congress may by law provide, transmit within four days

President as Acting President. 
SECTION 4 
Whenever the Vice President and a majority of either the 
principal officers of the executive departments or of such 
other body as Congress may by law provide, transmit to the 
President pro tempore of the Senate and the Speaker of the 
House of Representatives their written declaration that the 
President is unable to discharge the powers and duties of
 
his office, the Vice President shall immediately assume the

shall take office upon confirmation by a majority vote of 
both Houses of Congress. 
SECTION 3 
Whenever the President transmits to the President pro 
tempore of the Senate and the Speaker of the House of 
Representatives his written declaration that he is unable 
to discharge the powers and duties of his office, and until 
he transmits to them a written declaration to the contrary, 
such powers and duties shall be discharged by the Vice 
President as Acting President. 
SECTION 4

for as Vice-President, and of the number of votes for each, 
which lists they shall sign and certify, and transmit sealed 
to the seat of the government of the United States, directed 
to the President of the Senate;-the President of the Senate 
shall, in the presence of the Senate and House of Represen- 
tatives, open all the certificates and the votes shall then be 
counted;-The person having the greatest number of votes 
for President, shall be the President, if such number be a

Members from two thirds of the States, and a Majority of
 
all the States shall be necessary to a Choice. In every Case, 
after the Choice of the President, the Person having the 
greatest Number of Votes of the Electors shall be the Vice 
President. But if there should remain two or more who 
have equal Votes, the Senate shall chuse from them by Bal- 
lot the Vice President.]* 
 
 
 
 
 
The Congress may determine the  Time of chusing the",Contextual_Hallucination,1
how does the electoral college work?,"The Electoral College is the mechanism established by the United States Constitution for the indirect election of the president and vice president of the United States. Here is a basic overview of how it works:

1. **Electors**: Each state is allocated a number of electors equal to the total number of its Senators and Representatives in Congress. The District of Columbia is also allocated electors, as if it were a state, but it cannot have more electors than the least populous state.

2. **Selection of Electors**: States have the authority to determine how their electors are chosen. Generally, political parties in each state submit a slate of electors, and when voters in the state cast their ballots for president, they are actually voting for the slate of electors pledged to that candidate.

3. **Meeting and Voting**: Electors meet in their respective states to cast their votes for president and vice president. They vote by ballot for these positions, and at least one of the candidates they vote for must not be an inhabitant of the same state as the elector.

4. **Majority Requirement**: A candidate must receive a majority of the electoral votes to win the presidency. If no candidate receives a majority, the House of Representatives elects the president from the three candidates who received the most electoral votes, with each state delegation having one vote.

5. **Vice President**: The candidate with the greatest number of electoral votes for vice president becomes vice president. If there is a tie, the Senate chooses the vice president from the candidates with equal votes.

6. **Congressional Role**: Congress may set the time for choosing electors and when they give their votes, which must be the same throughout the United States.

7. **12th Amendment**: This amendment refined the process by requiring separate votes for president and vice president, among other procedural details.

The system is designed to balance the influence of populous states with less populous ones in presidential elections.","changed by the 12th Amendment.)  
The Electors shall meet in their respective states, and vote 
by ballot for President and Vice-President, one of whom, 
at least, shall not be an inhabitant of the same state with 
themselves; they shall name in their ballots the person voted 
for as President, and in distinct ballots the person voted 
for as Vice-President, and they shall make distinct lists of 
all persons voted for as President, and of all persons voted

majority of the whole number of Electors appointed; and if 
no person have such majority, then from the persons having 
the highest numbers not exceeding three on the list of those 
voted for as President, the House of Representatives shall 
choose immediately, by ballot, the President. But in choos- 
ing the President, the votes shall be taken by states, the 
representation from each state having one vote; a quorum 
for this purpose shall consist of a member or members from

the State may be entitled in the Congress: but no Senator or 
Representative, or Person holding an Office of Trust or Prof- 
it under the United States, shall be appointed an Elector. 
[The Electors shall meet in their respective States, and vote 
by Ballot for two Persons, of whom one at least shall not 
be an Inhabitant of the same State with themselves. And 
they shall make a List of all the Persons voted for, and of 
the Number of Votes for each; which List they shall sign

Members from two thirds of the States, and a Majority of
 
all the States shall be necessary to a Choice. In every Case, 
after the Choice of the President, the Person having the 
greatest Number of Votes of the Electors shall be the Vice 
President. But if there should remain two or more who 
have equal Votes, the Senate shall chuse from them by Bal- 
lot the Vice President.]* 
 
 
 
 
 
The Congress may determine the  Time of chusing the

to the whole number of Senators and Representatives 
in Congress to which the District would be entitled if it 
were a State, but in no event more than the least populous 
State; they shall be in addition to those appointed by the 
States, but they shall be considered, for the purposes of 
the election of President and Vice President, to be electors 
appointed by a State; and they shall meet in the District 
and perform such duties as provided by the twelfth article 
of amendment. 
SECTION 2",Contextual_Hallucination,1
which is the 14 ammendment?,"The 14th Amendment to the United States Constitution addresses citizenship rights and equal protection under the law. Section 1 of the 14th Amendment establishes that all persons born or naturalized in the United States and subject to its jurisdiction are citizens of the United States. It also ensures that no state can enact or enforce any law that abridges the privileges or immunities of citizens, or deprives any person of life, liberty, or property without due process of law, nor deny any person within its jurisdiction the equal protection of the laws. Section 2 of the amendment grants Congress the power to enforce the provisions of the amendment through appropriate legislation.","place subject to their jurisdiction.  
SECTION 2 
Congress shall have power to enforce this article by 
appropriate legislation. 
Amendment  XIV. 
Passed by Congress June 13, 1866. Ratified July 9, 1868. 
(Note: Article I, Section 2 of the Constitution  was modified by 
Section 2 of the 14th Amendment.)  
 
SECTION 1 
All persons born or naturalized in the United States and 
subject to the jurisdiction thereof, are citizens of the United

C O N S T I T U T I O N O F T H E U N I T E D S T A T E S  
Amendment  XV. 
Passed by Congress February 26, 1869. Ratified February 3, 1870. 
 
SECTION 1 
The right of citizens of the United States to vote shall not be 
denied or abridged by the United States or by any State on 
account of race, color, or previous condition of servitude. 
SECTION 2 
The Congress shall have the power to enforce this article by 
appropriate legislation. 
Amendment  XVI.

C O N S T I T U T I O N O F T H E U N I T E D S T A T E S  
Amendment  XIII. 
Passed by Congress January 31, 1865. Ratified December 6, 
1865. 
(Note: A portion of Article IV, Section 2 of the Constitution 
was changed by the 13th Amendment.)  
SECTION 1 
Neither slavery nor involuntary servitude, except as a 
punishment for crime whereof the party shall have been 
duly convicted, shall exist within the United States, or any 
place subject to their jurisdiction.  
SECTION 2

appropriate legislation. 
Amendment  XVI. 
Passed by Congress July 2, 1909. Ratified February 3, 1913. 
(Note: Article I, Section 9 of the Constitution  was modified by 
the 16 h Amendment.)  
The Congress shall have power to lay and collect taxes on 
incomes, from whatever source derived, without apportion- 
ment among the several States, and without regard to any 
census or enumeration. 
Amendment  XVII. 
Passed by Congress May 13, 1912. Ratified April 8, 1913.

of amendment. 
SECTION 2 
The Congress shall have power to enforce this article by 
appropriate legislation. 
Amendment  XXIV. 
Passed by Congress August 27, 1962. Ratified January 23, 1964. 
 
SECTION 1 
The right of citizens of the United States to vote in any pri- 
mary or other election for President or Vice President, for 
electors for President or Vice President, or for Senator or 
Representative in Congress, shall not be denied or abridged",Contextual_Hallucination,2
which is the second ammendment?,"The Second Amendment to the United States Constitution states: ""A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.""","Amendment  II. 
A well regulated Militia, being necessary to the security of 
a free State, the right of the people to keep and bear Arms, 
shall not be infringed.  
Amendment  III. 
No Soldier shall, in time of peace be quartered in any 
house, without the consent of the Owner, nor in time of 
war, but in a manner to be prescribed by law. 
Amendment  IV. 
The right of the people to be secure in their persons, hous- 
es, papers, and effects, against unreasonable searches and

original Constitution. 
 
(Note: The first 10 amendments  to the Constitution  were 
ratified December 15, 1791, and form what is known as 
the “Bill of Rights.”)  
Amendment  I. 
Congress shall make no law respecting an establishment of 
religion, or prohibiting the free exercise thereof; or abridg- 
ing the freedom of speech, or of the press, or the right 
of the people peaceably to assemble, and to petition the 
Government for a redress of grievances. 
Amendment  II.

C O N S T I T U T I O N O F T H E U N I T E D S T A T E S  
Amendment  XV. 
Passed by Congress February 26, 1869. Ratified February 3, 1870. 
 
SECTION 1 
The right of citizens of the United States to vote shall not be 
denied or abridged by the United States or by any State on 
account of race, color, or previous condition of servitude. 
SECTION 2 
The Congress shall have the power to enforce this article by 
appropriate legislation. 
Amendment  XVI.

imposed, nor cruel and unusual punishments inflicted. 
Amendment  IX. 
The enumeration in the Constitution, of certain rights, 
shall not be construed to deny or disparage others retained 
by the people. 
Amendment  X. 
The powers not delegated to the United States by the Con- 
stitution, nor prohibited by it to the States, are reserved to 
the States respectively, or to the people. 
 
AMENDMENTS 11-27 
 
Amendment  XI. 
Passed by Congress March 4, 1794. Ratified February 7, 1795.

place subject to their jurisdiction.  
SECTION 2 
Congress shall have power to enforce this article by 
appropriate legislation. 
Amendment  XIV. 
Passed by Congress June 13, 1866. Ratified July 9, 1868. 
(Note: Article I, Section 2 of the Constitution  was modified by 
Section 2 of the 14th Amendment.)  
 
SECTION 1 
All persons born or naturalized in the United States and 
subject to the jurisdiction thereof, are citizens of the United",Contextual_Hallucination,5
which is the first ammendment?,"The First Amendment to the United States Constitution states that ""Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press, or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.""","original Constitution. 
 
(Note: The first 10 amendments  to the Constitution  were 
ratified December 15, 1791, and form what is known as 
the “Bill of Rights.”)  
Amendment  I. 
Congress shall make no law respecting an establishment of 
religion, or prohibiting the free exercise thereof; or abridg- 
ing the freedom of speech, or of the press, or the right 
of the people peaceably to assemble, and to petition the 
Government for a redress of grievances. 
Amendment  II.

C O N S T I T U T I O N O F T H E U N I T E D S T A T E S  
Amendment  XV. 
Passed by Congress February 26, 1869. Ratified February 3, 1870. 
 
SECTION 1 
The right of citizens of the United States to vote shall not be 
denied or abridged by the United States or by any State on 
account of race, color, or previous condition of servitude. 
SECTION 2 
The Congress shall have the power to enforce this article by 
appropriate legislation. 
Amendment  XVI.

imposed, nor cruel and unusual punishments inflicted. 
Amendment  IX. 
The enumeration in the Constitution, of certain rights, 
shall not be construed to deny or disparage others retained 
by the people. 
Amendment  X. 
The powers not delegated to the United States by the Con- 
stitution, nor prohibited by it to the States, are reserved to 
the States respectively, or to the people. 
 
AMENDMENTS 11-27 
 
Amendment  XI. 
Passed by Congress March 4, 1794. Ratified February 7, 1795.

of amendment. 
SECTION 2 
The Congress shall have power to enforce this article by 
appropriate legislation. 
Amendment  XXIV. 
Passed by Congress August 27, 1962. Ratified January 23, 1964. 
 
SECTION 1 
The right of citizens of the United States to vote in any pri- 
mary or other election for President or Vice President, for 
electors for President or Vice President, or for Senator or 
Representative in Congress, shall not be denied or abridged

C O N S T I T U T I O N O F T H E U N I T E D S T A T E S  
THE AMENDMENTS TO THE CONSTITUTION OF 
THE UNITED STATES AS RATIFIED BY THE STATES 
 
 
Preamble to the 
Bill  of  Rights 
Congress of the United States 
begun and held at the City of New-York, on 
Wednesday the fourth of March,  
 
 
THE Conventions of a number of the States, having at 
the time of their adopting the Constitution, expressed 
a desire, in order to prevent misconstruction or abuse",Contextual_Hallucination,1
which is the second ammendment?,"The Second Amendment to the United States Constitution is: 

""A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.""","Amendment  II. 
A well regulated Militia, being necessary to the security of 
a free State, the right of the people to keep and bear Arms, 
shall not be infringed.  
Amendment  III. 
No Soldier shall, in time of peace be quartered in any 
house, without the consent of the Owner, nor in time of 
war, but in a manner to be prescribed by law. 
Amendment  IV. 
The right of the people to be secure in their persons, hous- 
es, papers, and effects, against unreasonable searches and

original Constitution. 
 
(Note: The first 10 amendments  to the Constitution  were 
ratified December 15, 1791, and form what is known as 
the “Bill of Rights.”)  
Amendment  I. 
Congress shall make no law respecting an establishment of 
religion, or prohibiting the free exercise thereof; or abridg- 
ing the freedom of speech, or of the press, or the right 
of the people peaceably to assemble, and to petition the 
Government for a redress of grievances. 
Amendment  II.

C O N S T I T U T I O N O F T H E U N I T E D S T A T E S  
Amendment  XV. 
Passed by Congress February 26, 1869. Ratified February 3, 1870. 
 
SECTION 1 
The right of citizens of the United States to vote shall not be 
denied or abridged by the United States or by any State on 
account of race, color, or previous condition of servitude. 
SECTION 2 
The Congress shall have the power to enforce this article by 
appropriate legislation. 
Amendment  XVI.

imposed, nor cruel and unusual punishments inflicted. 
Amendment  IX. 
The enumeration in the Constitution, of certain rights, 
shall not be construed to deny or disparage others retained 
by the people. 
Amendment  X. 
The powers not delegated to the United States by the Con- 
stitution, nor prohibited by it to the States, are reserved to 
the States respectively, or to the people. 
 
AMENDMENTS 11-27 
 
Amendment  XI. 
Passed by Congress March 4, 1794. Ratified February 7, 1795.

place subject to their jurisdiction.  
SECTION 2 
Congress shall have power to enforce this article by 
appropriate legislation. 
Amendment  XIV. 
Passed by Congress June 13, 1866. Ratified July 9, 1868. 
(Note: Article I, Section 2 of the Constitution  was modified by 
Section 2 of the 14th Amendment.)  
 
SECTION 1 
All persons born or naturalized in the United States and 
subject to the jurisdiction thereof, are citizens of the United",Contextual_Hallucination,1
which is the 10th ammendment?,"The 10th Amendment to the United States Constitution states: ""The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people.""","original Constitution. 
 
(Note: The first 10 amendments  to the Constitution  were 
ratified December 15, 1791, and form what is known as 
the “Bill of Rights.”)  
Amendment  I. 
Congress shall make no law respecting an establishment of 
religion, or prohibiting the free exercise thereof; or abridg- 
ing the freedom of speech, or of the press, or the right 
of the people peaceably to assemble, and to petition the 
Government for a redress of grievances. 
Amendment  II.

imposed, nor cruel and unusual punishments inflicted. 
Amendment  IX. 
The enumeration in the Constitution, of certain rights, 
shall not be construed to deny or disparage others retained 
by the people. 
Amendment  X. 
The powers not delegated to the United States by the Con- 
stitution, nor prohibited by it to the States, are reserved to 
the States respectively, or to the people. 
 
AMENDMENTS 11-27 
 
Amendment  XI. 
Passed by Congress March 4, 1794. Ratified February 7, 1795.

appropriate legislation. 
Amendment  XVI. 
Passed by Congress July 2, 1909. Ratified February 3, 1913. 
(Note: Article I, Section 9 of the Constitution  was modified by 
the 16 h Amendment.)  
The Congress shall have power to lay and collect taxes on 
incomes, from whatever source derived, without apportion- 
ment among the several States, and without regard to any 
census or enumeration. 
Amendment  XVII. 
Passed by Congress May 13, 1912. Ratified April 8, 1913.

(Note: A portion of Article III, Section 2 of the Constitution was 
modified by the 11 th Amendment.) 
The Judicial power of the United States shall not be construed 
to extend to any suit in law or equity, commenced or pros- 
ecuted against one of the United States by Citizens of another 
State, or by Citizens or Subjects of any Foreign State. 
Amendment  XII. 
Passed by Congress December 9, 1803. Ratified June 15, 1804. 
(Note: A portion of Article II, Section 1 of the Constitution was

C O N S T I T U T I O N O F T H E U N I T E D S T A T E S  
Amendment  XV. 
Passed by Congress February 26, 1869. Ratified February 3, 1870. 
 
SECTION 1 
The right of citizens of the United States to vote shall not be 
denied or abridged by the United States or by any State on 
account of race, color, or previous condition of servitude. 
SECTION 2 
The Congress shall have the power to enforce this article by 
appropriate legislation. 
Amendment  XVI.",Contextual_Hallucination,1
